userid,dept,date,total_hours_charged,direct_hours,non_direct_hours,overtime_hours,is_holiday
EMP013,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP033,Quality,2023-01-01,0.0,0.0,0.0,0.0,True
EMP015,Maintenance,2023-01-01,0.0,0.0,0.0,0.0,True
EMP051,Quality,2023-01-01,0.0,0.0,0.0,0.0,True
EMP009,Maintenance,2023-01-01,0.0,0.0,0.0,0.0,True
EMP027,Management,2023-01-01,0.0,0.0,0.0,0.0,True
EMP020,Maintenance,2023-01-01,0.0,0.0,0.0,0.0,True
EMP016,Maintenance,2023-01-01,0.0,0.0,0.0,0.0,True
EMP069,Logistics,2023-01-01,0.0,0.0,0.0,0.0,True
EMP050,Logistics,2023-01-01,0.0,0.0,0.0,0.0,True
EMP005,Management,2023-01-01,0.0,0.0,0.0,0.0,True
EMP047,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP035,Logistics,2023-01-01,0.0,0.0,0.0,0.0,True
EMP001,Management,2023-01-01,0.0,0.0,0.0,0.0,True
EMP038,Logistics,2023-01-01,0.0,0.0,0.0,0.0,True
EMP010,Management,2023-01-01,0.0,0.0,0.0,0.0,True
EMP045,Quality,2023-01-01,0.0,0.0,0.0,0.0,True
EMP063,Management,2023-01-01,0.0,0.0,0.0,0.0,True
EMP003,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP056,Maintenance,2023-01-01,0.0,0.0,0.0,0.0,True
EMP057,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP046,Management,2023-01-01,0.0,0.0,0.0,0.0,True
EMP017,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP030,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP037,Logistics,2023-01-01,0.0,0.0,0.0,0.0,True
EMP019,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP008,Maintenance,2023-01-01,0.0,0.0,0.0,0.0,True
EMP058,Logistics,2023-01-01,0.0,0.0,0.0,0.0,True
EMP043,Logistics,2023-01-01,0.0,0.0,0.0,0.0,True
EMP064,Management,2023-01-01,0.0,0.0,0.0,0.0,True
EMP070,Quality,2023-01-01,0.0,0.0,0.0,0.0,True
EMP012,Logistics,2023-01-01,0.0,0.0,0.0,0.0,True
EMP018,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP031,Maintenance,2023-01-01,0.0,0.0,0.0,0.0,True
EMP066,Maintenance,2023-01-01,0.0,0.0,0.0,0.0,True
EMP042,Management,2023-01-01,0.0,0.0,0.0,0.0,True
EMP025,Management,2023-01-01,0.0,0.0,0.0,0.0,True
EMP044,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP052,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP026,Quality,2023-01-01,0.0,0.0,0.0,0.0,True
EMP024,Maintenance,2023-01-01,0.0,0.0,0.0,0.0,True
EMP067,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP068,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP034,Maintenance,2023-01-01,0.0,0.0,0.0,0.0,True
EMP065,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP028,Management,2023-01-01,0.0,0.0,0.0,0.0,True
EMP048,Assembly,2023-01-01,0.0,0.0,0.0,0.0,True
EMP036,Quality,2023-01-01,0.0,0.0,0.0,0.0,True
EMP049,Quality,2023-01-01,0.0,0.0,0.0,0.0,True
EMP029,Quality,2023-01-01,0.0,0.0,0.0,0.0,True
EMP006,Management,2023-01-02,5.93,3.66,2.27,0.0,False
EMP052,Management,2023-01-02,6.2,4.55,1.1,0.54,False
EMP025,Logistics,2023-01-02,6.2,5.02,1.18,0.0,False
EMP067,Maintenance,2023-01-02,6.92,5.28,0.86,0.77,False
EMP044,Management,2023-01-02,7.32,4.46,2.86,0.0,False
EMP043,Assembly,2023-01-02,7.24,4.66,2.58,0.0,False
EMP036,Maintenance,2023-01-02,8.07,5.43,0.91,1.73,False
EMP039,Quality,2023-01-02,5.54,4.31,1.23,0.0,False
EMP068,Maintenance,2023-01-02,7.25,6.18,1.07,0.0,False
EMP008,Logistics,2023-01-02,8.36,4.87,1.93,1.56,False
EMP023,Quality,2023-01-02,6.0,3.97,2.02,0.0,False
EMP020,Management,2023-01-02,5.53,3.61,1.92,0.0,False
EMP034,Logistics,2023-01-02,6.68,3.71,2.12,0.86,False
EMP014,Maintenance,2023-01-02,5.8,5.03,0.76,0.0,False
EMP012,Maintenance,2023-01-02,7.38,5.6,1.71,0.06,False
EMP033,Assembly,2023-01-02,6.71,5.1,1.61,0.0,False
EMP022,Logistics,2023-01-02,7.05,5.04,2.01,0.0,False
EMP016,Quality,2023-01-02,7.82,5.37,0.75,1.69,False
EMP054,Logistics,2023-01-02,8.17,4.94,2.07,1.16,False
EMP003,Maintenance,2023-01-02,7.07,4.33,2.08,0.65,False
EMP065,Logistics,2023-01-02,7.1,3.97,1.87,1.25,False
EMP010,Management,2023-01-02,6.14,4.16,1.5,0.48,False
EMP056,Management,2023-01-02,6.0,5.1,0.9,0.0,False
EMP045,Assembly,2023-01-02,6.33,4.66,1.67,0.0,False
EMP019,Maintenance,2023-01-02,5.69,3.54,2.15,0.0,False
EMP031,Quality,2023-01-02,7.93,4.75,2.32,0.86,False
EMP021,Logistics,2023-01-02,6.25,5.54,0.71,0.0,False
EMP064,Logistics,2023-01-02,6.71,5.84,0.86,0.0,False
EMP049,Management,2023-01-02,7.23,5.85,1.38,0.0,False
EMP028,Quality,2023-01-02,7.08,6.22,0.86,0.0,False
EMP013,Quality,2023-01-02,5.84,3.65,2.19,0.0,False
EMP070,Logistics,2023-01-02,7.5,4.03,2.6,0.86,False
EMP047,Quality,2023-01-02,7.01,4.59,2.42,0.0,False
EMP024,Assembly,2023-01-02,7.28,5.53,1.34,0.4,False
EMP057,Assembly,2023-01-02,6.85,5.27,1.58,0.0,False
EMP046,Quality,2023-01-02,5.7,4.95,0.75,0.0,False
EMP004,Assembly,2023-01-02,7.12,4.53,2.59,0.0,False
EMP042,Quality,2023-01-02,7.12,4.15,1.89,1.09,False
EMP041,Management,2023-01-02,6.79,4.46,2.33,0.0,False
EMP063,Logistics,2023-01-02,6.82,5.84,0.98,0.0,False
EMP061,Assembly,2023-01-02,7.72,4.72,2.34,0.66,False
EMP017,Logistics,2023-01-02,8.21,4.87,1.94,1.41,False
EMP038,Quality,2023-01-02,5.74,4.61,1.13,0.0,False
EMP007,Assembly,2023-01-02,5.57,4.68,0.88,0.0,False
EMP035,Logistics,2023-01-02,6.96,5.44,1.53,0.0,False
EMP026,Logistics,2023-01-02,5.55,3.39,2.15,0.0,False
EMP037,Logistics,2023-01-02,5.54,4.54,0.99,0.0,False
EMP001,Management,2023-01-02,7.23,5.19,2.04,0.0,False
EMP040,Logistics,2023-01-02,6.15,4.25,1.7,0.19,False
EMP005,Assembly,2023-01-02,5.86,3.52,2.34,0.0,False
EMP070,Maintenance,2023-01-03,7.66,4.36,1.49,1.8,False
EMP052,Assembly,2023-01-03,7.42,5.75,1.36,0.3,False
EMP062,Quality,2023-01-03,5.87,5.12,0.75,0.0,False
EMP012,Quality,2023-01-03,6.87,5.15,1.72,0.0,False
EMP053,Logistics,2023-01-03,5.93,4.17,1.72,0.06,False
EMP068,Logistics,2023-01-03,6.42,5.66,0.76,0.0,False
EMP020,Assembly,2023-01-03,7.55,4.75,1.33,1.48,False
EMP001,Assembly,2023-01-03,6.89,4.96,1.11,0.83,False
EMP008,Maintenance,2023-01-03,8.47,4.09,2.65,1.73,False
EMP004,Assembly,2023-01-03,8.24,4.94,2.36,0.95,False
EMP031,Quality,2023-01-03,6.25,3.75,2.49,0.0,False
EMP050,Management,2023-01-03,7.44,5.58,1.21,0.65,False
EMP063,Logistics,2023-01-03,7.53,6.0,1.13,0.4,False
EMP045,Assembly,2023-01-03,5.84,4.09,1.75,0.0,False
EMP043,Assembly,2023-01-03,8.22,5.51,1.7,1.0,False
EMP019,Maintenance,2023-01-03,6.44,5.35,1.09,0.0,False
EMP024,Maintenance,2023-01-03,5.74,4.12,1.62,0.0,False
EMP065,Logistics,2023-01-03,6.58,4.56,2.01,0.0,False
EMP006,Maintenance,2023-01-03,5.64,4.38,1.26,0.0,False
EMP025,Assembly,2023-01-03,6.67,5.3,1.37,0.0,False
EMP014,Management,2023-01-03,7.02,5.84,1.18,0.0,False
EMP026,Maintenance,2023-01-03,7.11,5.78,1.33,0.0,False
EMP030,Assembly,2023-01-03,5.82,4.21,1.61,0.0,False
EMP060,Logistics,2023-01-03,6.1,4.53,1.57,0.0,False
EMP033,Maintenance,2023-01-03,7.05,5.67,1.38,0.0,False
EMP002,Management,2023-01-03,5.59,4.59,1.0,0.0,False
EMP056,Maintenance,2023-01-03,5.57,3.61,1.96,0.0,False
EMP047,Management,2023-01-03,7.1,5.72,1.38,0.0,False
EMP044,Quality,2023-01-03,7.76,4.5,2.63,0.63,False
EMP051,Quality,2023-01-03,6.41,5.7,0.71,0.0,False
EMP037,Logistics,2023-01-03,7.28,4.61,2.14,0.52,False
EMP018,Management,2023-01-03,7.06,4.75,1.32,0.98,False
EMP003,Assembly,2023-01-03,6.44,5.06,1.38,0.0,False
EMP010,Management,2023-01-03,7.02,4.82,1.05,1.15,False
EMP046,Assembly,2023-01-03,6.86,4.74,0.84,1.29,False
EMP038,Maintenance,2023-01-03,7.63,6.22,0.74,0.67,False
EMP059,Maintenance,2023-01-03,6.93,5.0,1.53,0.4,False
EMP049,Maintenance,2023-01-03,6.49,3.93,2.56,0.0,False
EMP011,Logistics,2023-01-03,7.09,6.09,0.99,0.0,False
EMP015,Management,2023-01-03,6.3,4.86,0.95,0.5,False
EMP028,Quality,2023-01-03,6.13,4.71,1.42,0.0,False
EMP042,Assembly,2023-01-03,6.41,5.26,1.15,0.0,False
EMP021,Assembly,2023-01-03,7.21,6.02,1.2,0.0,False
EMP041,Maintenance,2023-01-03,7.09,6.1,0.81,0.18,False
EMP039,Logistics,2023-01-03,6.71,5.65,1.06,0.0,False
EMP016,Quality,2023-01-03,7.93,4.59,2.13,1.21,False
EMP013,Maintenance,2023-01-03,5.67,3.81,1.86,0.0,False
EMP058,Maintenance,2023-01-03,5.76,4.57,1.19,0.0,False
EMP035,Maintenance,2023-01-03,5.74,5.04,0.7,0.0,False
EMP054,Management,2023-01-03,6.68,4.1,2.24,0.34,False
EMP067,Assembly,2023-01-04,7.46,4.69,1.55,1.22,False
EMP025,Maintenance,2023-01-04,7.76,4.01,2.18,1.57,False
EMP008,Assembly,2023-01-04,6.73,4.81,1.91,0.0,False
EMP060,Quality,2023-01-04,5.58,4.54,1.05,0.0,False
EMP016,Quality,2023-01-04,6.41,4.11,1.8,0.5,False
EMP011,Management,2023-01-04,5.78,3.91,1.65,0.22,False
EMP061,Maintenance,2023-01-04,7.17,6.36,0.81,0.0,False
EMP041,Logistics,2023-01-04,7.1,5.92,1.18,0.0,False
EMP063,Management,2023-01-04,6.49,4.76,1.38,0.35,False
EMP048,Quality,2023-01-04,6.32,5.68,0.64,0.0,False
EMP018,Management,2023-01-04,6.27,3.92,2.35,0.0,False
EMP069,Logistics,2023-01-04,6.92,4.33,2.59,0.0,False
EMP027,Maintenance,2023-01-04,6.42,4.01,2.41,0.0,False
EMP032,Quality,2023-01-04,6.8,5.84,0.96,0.0,False
EMP002,Logistics,2023-01-04,7.32,4.47,2.85,0.0,False
EMP021,Quality,2023-01-04,6.41,4.73,1.68,0.0,False
EMP036,Quality,2023-01-04,5.82,4.94,0.88,0.0,False
EMP052,Management,2023-01-04,6.16,5.39,0.77,0.0,False
EMP015,Management,2023-01-04,6.06,5.13,0.93,0.0,False
EMP003,Logistics,2023-01-04,6.03,4.89,1.13,0.0,False
EMP058,Logistics,2023-01-04,6.09,4.2,1.89,0.0,False
EMP030,Quality,2023-01-04,5.83,4.31,1.52,0.0,False
EMP049,Maintenance,2023-01-04,7.45,3.76,2.36,1.32,False
EMP062,Logistics,2023-01-04,6.19,4.93,1.26,0.0,False
EMP024,Quality,2023-01-04,6.11,3.82,1.82,0.47,False
EMP013,Management,2023-01-04,5.8,4.23,1.56,0.0,False
EMP040,Maintenance,2023-01-04,7.8,4.96,1.84,1.0,False
EMP070,Management,2023-01-04,7.3,3.84,1.8,1.66,False
EMP020,Logistics,2023-01-04,8.0,4.88,2.14,0.98,False
EMP047,Management,2023-01-04,6.6,4.02,2.58,0.0,False
EMP004,Assembly,2023-01-04,6.61,3.62,2.18,0.81,False
EMP009,Maintenance,2023-01-04,6.54,4.12,2.42,0.0,False
EMP066,Maintenance,2023-01-04,6.5,4.74,1.76,0.0,False
EMP001,Management,2023-01-04,7.37,4.38,2.48,0.52,False
EMP033,Assembly,2023-01-04,6.41,3.92,2.49,0.0,False
EMP028,Quality,2023-01-04,6.34,5.15,1.19,0.0,False
EMP031,Assembly,2023-01-04,7.25,5.23,2.01,0.0,False
EMP034,Quality,2023-01-04,6.92,4.43,2.49,0.0,False
EMP035,Logistics,2023-01-04,6.32,5.69,0.63,0.0,False
EMP023,Quality,2023-01-04,6.8,5.5,1.3,0.01,False
EMP059,Maintenance,2023-01-04,6.73,4.98,1.76,0.0,False
EMP010,Assembly,2023-01-04,6.81,6.06,0.75,0.0,False
EMP050,Quality,2023-01-04,5.57,3.96,1.61,0.0,False
EMP064,Management,2023-01-04,8.21,5.56,1.27,1.38,False
EMP029,Quality,2023-01-04,8.0,4.43,2.03,1.55,False
EMP012,Logistics,2023-01-04,7.28,5.83,0.78,0.65,False
EMP039,Assembly,2023-01-04,5.82,4.96,0.86,0.0,False
EMP051,Management,2023-01-04,5.8,4.06,1.74,0.0,False
EMP043,Quality,2023-01-04,7.22,5.58,1.65,0.0,False
EMP055,Assembly,2023-01-04,6.05,5.38,0.67,0.0,False
EMP015,Quality,2023-01-05,5.64,3.48,2.16,0.0,False
EMP029,Logistics,2023-01-05,5.63,4.41,1.22,0.0,False
EMP068,Assembly,2023-01-05,6.37,4.64,0.95,0.78,False
EMP013,Quality,2023-01-05,6.48,5.75,0.73,0.0,False
EMP064,Management,2023-01-05,6.17,5.01,1.16,0.0,False
EMP019,Assembly,2023-01-05,7.12,4.93,2.19,0.0,False
EMP050,Maintenance,2023-01-05,7.17,5.22,1.95,0.0,False
EMP043,Quality,2023-01-05,7.75,4.43,2.28,1.03,False
EMP046,Maintenance,2023-01-05,6.72,5.75,0.97,0.0,False
EMP017,Logistics,2023-01-05,5.6,4.44,1.09,0.07,False
EMP056,Quality,2023-01-05,7.3,4.14,1.62,1.54,False
EMP061,Assembly,2023-01-05,8.22,5.09,2.01,1.14,False
EMP052,Assembly,2023-01-05,5.81,4.54,1.27,0.0,False
EMP028,Management,2023-01-05,6.71,5.98,0.73,0.0,False
EMP026,Maintenance,2023-01-05,6.39,5.66,0.74,0.0,False
EMP051,Quality,2023-01-05,7.15,6.31,0.84,0.0,False
EMP040,Maintenance,2023-01-05,6.15,5.23,0.92,0.0,False
EMP001,Logistics,2023-01-05,5.79,4.22,1.56,0.0,False
EMP067,Assembly,2023-01-05,7.61,3.78,2.0,1.83,False
EMP002,Assembly,2023-01-05,5.93,4.94,0.99,0.0,False
EMP030,Logistics,2023-01-05,6.54,4.95,1.59,0.0,False
EMP053,Assembly,2023-01-05,6.91,5.51,1.4,0.0,False
EMP008,Management,2023-01-05,6.33,5.17,1.16,0.0,False
EMP041,Quality,2023-01-05,6.61,4.83,1.78,0.0,False
EMP045,Logistics,2023-01-05,5.72,4.7,1.02,0.0,False
EMP011,Logistics,2023-01-05,6.58,4.1,2.34,0.14,False
EMP037,Logistics,2023-01-05,7.2,3.89,2.24,1.08,False
EMP027,Management,2023-01-05,6.75,5.0,1.76,0.0,False
EMP060,Management,2023-01-05,6.4,4.56,1.84,0.0,False
EMP065,Logistics,2023-01-05,7.23,5.28,1.95,0.0,False
